phrase,class
i want to buy four tickets for the flooded forest exhibition,0
i want to buy four tickets for the antarctic base exhibition,0
i want to buy four tickets for the geological wall exhibition,0
i want to buy four tickets for the sustainable building exhibition,0
i want to buy five tickets for the universe room exhibition,0
i want to buy five tickets for the flooded forest exhibition,0
i want to buy five tickets for the antarctic base exhibition,0
i want to buy five tickets for the geological wall exhibition,0
i want to buy five tickets for the sustainable building exhibition,0
i want to buy six tickets for the universe room exhibition,0
i want to buy six tickets for the flooded forest exhibition,0
i want to buy six tickets for the antarctic base exhibition,0
i want to buy six tickets for the geological wall exhibition,0
i want to buy six tickets for the sustainable building exhibition,0
i want to buy a ticket for the exhibition about sustainability,0
i want to buy a ticket for the exhibition about gravity,0
i want to buy a ticket for the exhibition about matter,0
i want to buy a ticket for the exhibition about brain,0
i want to buy one ticket for the exhibition about climate change,0
i want to buy one ticket for the exhibition about environment,0
i want to buy one ticket for the exhibition about evolution,0
i want to buy one ticket for the exhibition about national geographic,0
i want to buy tickets for the exhibition about evolution,0
i want to buy tickets for the exhibition about rock,0
i want to buy tickets for the exhibition about amazon,0
i want to buy tickets for the exhibition about education,0
i want to buy two tickets for the exhibition about technology,0
i want to buy two tickets for the exhibition about space,0
i want to buy two tickets for the exhibition about floodings,0
i want to buy two tickets for the exhibition about efficiency,0
i want to buy three tickets for the exhibition about earth,0
i want to buy three tickets for the exhibition about nature,0
i want to buy three tickets for the exhibition about building,0
i want to buy three tickets for the exhibition about vulcanos,0
i want to buy four tickets for the exhibition about rocks,0
i want to buy four tickets for the exhibition about cosmos,0
i want to buy four tickets for the exhibition about matter,0
i want to buy four tickets for the exhibition about stars,0
i want to buy five tickets for the exhibition about gravity,0
i want to buy five tickets for the exhibition about cosmos,0
i want to buy five tickets for the exhibition about erosion,0
i want to buy five tickets for the exhibition about plants,0
i want to buy six tickets for the exhibition about education,0
i want to buy six tickets for the exhibition about matter,0
i want to buy six tickets for the exhibition about rock,0
i want to buy six tickets for the exhibition about gravity,0
i want to buy a ticket for the exhibition on science,0
i want to buy a ticket for the exhibition on climate,0
i want to buy a ticket for the exhibition on landscape,0
i want to buy a ticket for the exhibition on efficiency,0
i want to buy one ticket for the exhibition on south america,0
i want to buy one ticket for the exhibition on rocks,0
i want to buy one ticket for the exhibition on mars,0
i want to buy one ticket for the exhibition on water,0
i want to buy tickets for the exhibition on earth,0
i want to buy tickets for the exhibition on plants,0
i want to buy tickets for the exhibition on rock,0
i want to buy tickets for the exhibition on temperature,0
i want to buy two tickets for the exhibition on national geographic,0
i want to buy two tickets for the exhibition on brain,0
i want to buy two tickets for the exhibition on rivers,0
i want to buy two tickets for the exhibition on science,0
i want to buy three tickets for the exhibition on environment,0
i want to buy three tickets for the exhibition on big bang,0
i want to buy three tickets for the exhibition on architecture,0
i want to buy three tickets for the exhibition on south america,0
i want to buy four tickets for the exhibition on universe,0
i want to buy four tickets for the exhibition on rock,0
i want to buy four tickets for the exhibition on photographer,0
i want to buy four tickets for the exhibition on physics,0
i want to buy five tickets for the exhibition on exploration,0
i want to buy five tickets for the exhibition on education,0
i want to buy five tickets for the exhibition on architecture,0
i want to buy five tickets for the exhibition on temperature,0
i want to buy six tickets for the exhibition on moon,0
i want to buy six tickets for the exhibition on earth,0
i want to buy six tickets for the exhibition on floodings,0
i want to buy six tickets for the exhibition on photos,0
a ticket for the universe room exhibition,0
a ticket for the flooded forest exhibition,0
a ticket for the antarctic base exhibition,0
a ticket for the geological wall exhibition,0
a ticket for the sustainable building exhibition,0
one ticket for the universe room exhibition,0
one ticket for the flooded forest exhibition,0
one ticket for the antarctic base exhibition,0
one ticket for the geological wall exhibition,0
one ticket for the sustainable building exhibition,0
tickets for the universe room exhibition,0
tickets for the flooded forest exhibition,0
tickets for the antarctic base exhibition,0
tickets for the geological wall exhibition,0
tickets for the sustainable building exhibition,0
two tickets for the universe room exhibition,0
two tickets for the flooded forest exhibition,0
two tickets for the antarctic base exhibition,0
two tickets for the geological wall exhibition,0
two tickets for the sustainable building exhibition,0
three tickets for the universe room exhibition,0
three tickets for the flooded forest exhibition,0
three tickets for the antarctic base exhibition,0
three tickets for the geological wall exhibition,0
three tickets for the sustainable building exhibition,0
four tickets for the universe room exhibition,0
four tickets for the flooded forest exhibition,0
four tickets for the antarctic base exhibition,0
four tickets for the geological wall exhibition,0
four tickets for the sustainable building exhibition,0
five tickets for the universe room exhibition,0
five tickets for the flooded forest exhibition,0
five tickets for the antarctic base exhibition,0
five tickets for the geological wall exhibition,0
five tickets for the sustainable building exhibition,0
six tickets for the universe room exhibition,0
six tickets for the flooded forest exhibition,0
six tickets for the antarctic base exhibition,0
six tickets for the geological wall exhibition,0
six tickets for the sustainable building exhibition,0
a ticket for the exhibition about rivers,0
a ticket for the exhibition about rock,0
a ticket for the exhibition about animals,0
a ticket for the exhibition about nature,0
one ticket for the exhibition about light,0
one ticket for the exhibition about efficiency,0
one ticket for the exhibition about earth,0
one ticket for the exhibition about animals,0
tickets for the exhibition about brain,0
tickets for the exhibition about light,0
tickets for the exhibition about evolution,0
tickets for the exhibition about floodings,0
two tickets for the exhibition on technology,0
two tickets for the exhibition on brazil,0
two tickets for the exhibition on evolution,0
two tickets for the exhibition on efficiency,0
three tickets for the exhibition on brain,0
three tickets for the exhibition on stars,0
three tickets for the exhibition on space,0
three tickets for the exhibition on animals,0
four tickets for the exhibition on brain,0
four tickets for the exhibition on erosion,0
four tickets for the exhibition on education,0
four tickets for the exhibition on landscape,0
five tickets for the exhibition on life,0
five tickets for the exhibition on south america,0
five tickets for the exhibition on rock,0
five tickets for the exhibition on light,0
six tickets for the exhibition on water,0
six tickets for the exhibition on life,0
six tickets for the exhibition on photographer,0
six tickets for the exhibition on rivers,0
are there any more tickets?,0
are there any more tickets for the universe room exhibition,0
are there any more tickets for the flooded forest exhibition,0
are there any more tickets for the antarctic base exhibition,0
are there any more tickets for the geological wall exhibition,0
are there any more tickets for the sustainable building exhibition,0
are there any more tickets for the exhibition on climate,0
are there any more tickets for the exhibition on erosion,0
are there any more tickets for the exhibition on floodings,0
are there any more tickets for the exhibition on photographer,0
are tickets available for the exhibition about floodings,0
are tickets available for the exhibition about sustainability,0
are tickets available for the exhibition about water,0
are tickets available for the exhibition about stars,0
i want tickets for the museum,0
i want to go on Aug 22 are there tickets for that day,0
i want to go on Mar 11 are there tickets for that day,0
i want to go on Jun 20 are there tickets for that day,0
i want to go on Jun 23 are there tickets for that day,0
i want to go this Wednesday are there tickets for that day,0
i want to go this Saturday are there tickets for that day,0
i want to go on Saturday are there tickets for that day,0
i want to go next Sunday are there tickets for that day,0
i want to go to the museum are there any tickets this week?,0
how much do two tickets for the museum cost?,0
how much do three tickets for the museum cost?,0
how much do four tickets for the museum cost?,0
how much do five tickets for the museum cost?,0
how much do six tickets for the museum cost?,0
one ticket for the caixa museum please,0
two tickets for the caixa museum please,0
three tickets for the caixa museum please,0
four tickets for the caixa museum please,0
five tickets for the caixa museum please,0
six tickets for the caixa museum please,0
are there still tickets available for the caixa museum on thursday,0
i would like to buy tickets,0
can i buy a ticket for the caixa museum,0
i wish to buy caixa museum tickets,0
can i purchase tickets for next week,0
i would like to go to the universe room exhibition on 06 Jul,0
i would like to go to the universe room exhibition on Sep 05,0
i would like to go to the universe room exhibition on 30 Jun,0
i would like to go to the universe room exhibition on Oct 27,0
i would like to go to the universe room exhibition next weekend,0
i would like to go to the universe room exhibition next Saturday,0
i would like to go to the universe room exhibition this Friday,0
i would like to go to the universe room exhibition this month,0
i would like to go to the flooded forest exhibition on 08 Nov,0
i would like to go to the flooded forest exhibition on Dec 11,0
i would like to go to the flooded forest exhibition on 25 Jan,0
i would like to go to the flooded forest exhibition on Jul 27,0
i would like to go to the flooded forest exhibition on Tuesday,0
i would like to go to the flooded forest exhibition next Wednesday,0
i would like to go to the flooded forest exhibition this Thursday,0
i would like to go to the flooded forest exhibition next weekend,0
i would like to go to the antarctic base exhibition on 13 Jul,0
i would like to go to the antarctic base exhibition on 25 Apr,0
i would like to go to the antarctic base exhibition on 13 Mar,0
i would like to go to the antarctic base exhibition on 17 May,0
i would like to go to the antarctic base exhibition next Saturday,0
i would like to go to the antarctic base exhibition next Friday,0
i would like to go to the antarctic base exhibition on Thursday,0
i would like to go to the antarctic base exhibition this Monday,0
i would like to go to the geological wall exhibition on Sep 14,0
i would like to go to the geological wall exhibition on Jun 21,0
i would like to go to the geological wall exhibition on Sep 27,0
i would like to go to the geological wall exhibition on Apr 23,0
i would like to go to the geological wall exhibition this weekend,0
i would like to go to the geological wall exhibition on Friday,0
i would like to go to the geological wall exhibition this Saturday,0
i would like to go to the geological wall exhibition next Saturday,0
i would like to go to the sustainable building exhibition on 20 Jun,0
i would like to go to the sustainable building exhibition on 20 Dec,0
i would like to go to the sustainable building exhibition on Dec 23,0
i would like to go to the sustainable building exhibition on 26 Feb,0
i would like to go to the sustainable building exhibition today,0
i would like to go to the sustainable building exhibition next week,0
i would like to go to the sustainable building exhibition this weekend,0
i would like to go to the sustainable building exhibition this Saturday,0
i need two tickets,0
i need three tickets,0
i need four tickets,0
i need five tickets,0
i need six tickets,0
